intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
2009000,0.006280185685928195,0.3178294573643411,0.006280185685928195,0.0035755733554943014,1.3449477351916377,1.0,0.6206786774677486,/Users/hehouts/Desktop/lab14_binder/sourmash/matches.zip,"GCF_004138165.1 Candidatus Chloroploca sp. Khr17 strain=Khr17, ASM413816v1",69a7517d99b1edb5704e6fb1e459479a,0.3178294573643411,2009000,0,5618000,genomic_data/SRR8859675_2.fastq.gz,SRR8859675,50101ce4,319895000,31,DNA,1000,319895,True,0.8491156674683671,0.9636997507503551,0.9064077091093611,0.9636997507503551,False,2702,2702,755683
1876000,0.005864424264211694,0.6685673556664291,0.005864424264211694,0.005323660847207096,2.144456289978678,2.0,1.3568613336642248,/Users/hehouts/Desktop/lab14_binder/sourmash/matches.zip,"GCF_900101955.1 Desulfuromonas thiophila strain=DSM 8987, IMG-taxon 2602042025 annotated assembly",1672dff9b6e79628d3f967a8ab337019,0.6685673556664291,1876000,1,3742000,genomic_data/SRR8859675_2.fastq.gz,SRR8859675,50101ce4,319895000,31,DNA,1000,319895,True,0.8472415974255607,0.9870962943447454,0.9171689458851531,0.9870962943447454,False,4023,6725,755683
622000,0.001944388002313259,0.23261032161555723,0.001944388002313259,0.0025989733790491515,3.157556270096463,3.0,2.831994367742229,/Users/hehouts/Desktop/lab14_binder/sourmash/matches.zip,"GCA_016938795.1 Chromatiaceae bacterium, ASM1693879v1",fda0483e58b1aa17466f5438b4cabdcc,0.23261032161555723,622000,2,3120000,genomic_data/SRR8859675_2.fastq.gz,SRR8859675,50101ce4,319895000,31,DNA,1000,319895,True,0.8176009453128753,0.9540445980382135,0.8858227716755445,0.9540445980382135,False,1964,8689,755683
602000,0.0018818674877694244,0.2726449275362319,0.0018818674877694244,0.005268081986758998,6.612956810631229,1.0,14.878065804661427,/Users/hehouts/Desktop/lab14_binder/sourmash/matches.zip,"GCA_016931495.1 Chlorobiaceae bacterium, ASM1693149v1",6848c45991a3da9ab58d1bd826487307,0.2726449275362319,602000,3,2518000,genomic_data/SRR8859675_2.fastq.gz,SRR8859675,50101ce4,319895000,31,DNA,1000,319895,True,0.8167394200710124,0.9589444837039965,0.8878419518875045,0.9589444837039965,False,3981,12670,755683
352000,0.0011003610559714907,0.09324503311258278,0.0011003610559714907,0.0012121484802489933,2.602272727272727,2.0,1.5903814059932058,/Users/hehouts/Desktop/lab14_binder/sourmash/matches.zip,"GCA_002440745.1 Bacteroidales bacterium UBA6267, ASM244074v1",6f1b00411b85cb16de309da7a1ec8328,0.09324503311258278,352000,4,2166000,genomic_data/SRR8859675_2.fastq.gz,SRR8859675,50101ce4,319895000,31,DNA,1000,319895,True,0.8027228987384729,0.9263223007407947,0.8645225997396337,0.9263223007407947,False,916,13586,755683
306000,0.0009565638725206708,0.13486117232260908,0.0009565638725206708,0.0005954877905153352,1.4705882352941178,1.0,2.3320972174755097,/Users/hehouts/Desktop/lab14_binder/sourmash/matches.zip,"GCA_018399635.1 Clostridia bacterium, ASM1839963v1",b2db925df01ab1ee59071a0b73bbd07b,0.13486117232260908,306000,5,1860000,genomic_data/SRR8859675_2.fastq.gz,SRR8859675,50101ce4,319895000,31,DNA,1000,319895,True,0.7991046845099842,0.9374148659354069,0.8682597752226955,0.9374148659354069,False,450,14036,755683
289000,0.0009034214351584113,0.11328890631125049,0.0009034214351584113,0.0004882999882225748,1.2768166089965398,1.0,0.6493400196949426,/Users/hehouts/Desktop/lab14_binder/sourmash/matches.zip,"GCA_016938515.1 Spirochaetales bacterium, ASM1693851v1",0939495a5ad145bc7b8296d57bc9ce96,0.11328890631125049,289000,6,1571000,genomic_data/SRR8859675_2.fastq.gz,SRR8859675,50101ce4,319895000,31,DNA,1000,319895,True,0.7976326369816126,0.9321588252239602,0.8648957311027864,0.9321588252239602,False,369,14405,755683
252000,0.0007877584832523171,0.08999122036874452,0.0006408352740743056,0.006206306083370937,22.878048780487806,9.0,40.2743004190206,/Users/hehouts/Desktop/lab14_binder/sourmash/matches.zip,"GCF_000020505.1 Chlorobaculum parvum NCIB 8327 strain=NCIB 8327, ASM2050v1",82d907cc0f505ac13179b8386cb051e5,0.1106233538191396,205000,7,1366000,genomic_data/SRR8859675_2.fastq.gz,SRR8859675,50101ce4,319895000,31,DNA,1000,319895,True,0.7941154544914252,0.9314431411923197,0.8627792978418725,0.9314431411923197,False,4690,19095,755683
201000,0.0006283311711655387,0.08637152777777778,0.0006220791197111553,0.015122743266687222,57.42713567839196,60.0,49.59132955641082,/Users/hehouts/Desktop/lab14_binder/sourmash/matches.zip,"GCF_006265245.1 Prosthecochloris vibrioformis strain=DSM 260, ASM626524v1",e5698329948ebe9b7abe87f8ad81be74,0.08723958333333333,199000,8,1167000,genomic_data/SRR8859675_2.fastq.gz,SRR8859675,50101ce4,319895000,31,DNA,1000,319895,True,0.7883439906695454,0.9243351542512741,0.8563395724604097,0.9243351542512741,False,11428,30523,755683
232000,0.0007252379687084825,0.06899641577060932,0.0004814079619875272,0.005766968424590735,28.2987012987013,29.0,25.76772618216612,/Users/hehouts/Desktop/lab14_binder/sourmash/matches.zip,"GCA_011372505.1 Chlorobaculum parvum, ASM1137250v1",b94c0db08d2d6ea41dc189f567c9fd72,0.1039426523297491,154000,9,1013000,genomic_data/SRR8859675_2.fastq.gz,SRR8859675,50101ce4,319895000,31,DNA,1000,319895,True,0.7919999943265779,0.9295733636707286,0.8607866789986532,0.9295733636707286,False,4358,34881,755683
